verdesol,5,1,445,226
verdesol,5,1,421,221
verdesol,5,1,361,215
verdesol,5,1,385,208
verdesol,5,1,305,206
verdesol,5,1,460,202
verdesol,5,1,320,198
verdesol,5,1,279,195
verdesol,5,1,420,195
verdesol,5,1,421,194
verdesol,5,1,351,195
verdesol,5,1,314,196
verdesol,5,1,200,197
verdesol,5,1,219,200
verdesol,5,1,237,202
verdesol,5,1,268,203
verdesol,5,1,180,204
verdesol,5,2,248,205
verdesol,5,2,226,206
verdesol,5,2,172,208
verdesol,5,3,236,211
verdesol,5,4,142,216
verdesol,5,4,62,218
verdesol,5,5,51,219
verdesol,5,7,177,320
verdesol,5,9,173,323
verdesol,5,9,108,326
verdesol,5,11,82,337
verdesol,5,12,64,348
verdesol,5,-10,101,353
verdesol,5,-9,59,354
verdesol,5,-9,102,346
verdesol,5,-8,112,331
verdesol,5,-8,108,324
verdesol,5,-7,125,309
verdesol,5,-6,103,300
verdesol,5,-5,138,297
verdesol,5,-3,122,243
verdesol,5,-1,71,237
verdesol,5,-1,131,235
verdesol,5,0,70,224
verdesol,5,0,78,213
verdesol,5,0,175,204
verdesol,5,1,152,192
verdesol,5,1,210,188
verdesol,5,1,144,177
verdesol,5,1,187,167
verdesol,5,2,157,160
verdesol,5,2,130,150
verdesol,5,2,184,137
verdesol,5,3,162,124
verdesol,5,3,37,119
verdesol,5,4,107,110
verdesol,5,6,141,104
verdesol,5,8,236,76
verdesol,5,10,131,74
verdesol,5,11,135,70
verdesol,5,12,73,66
verdesol,5,12,97,65
verdesol,5,12,44,64
verdesol,5,-10,110,64
verdesol,5,-10,92,63
verdesol,5,-10,117,62
verdesol,5,-10,185,61
verdesol,5,-10,177,59
verdesol,5,-10,165,57
verdesol,5,-10,96,56
verdesol,5,-10,186,56
verdesol,5,-10,73,58
verdesol,5,-10,189,59
verdesol,5,-9,139,64
verdesol,5,-9,188,70
verdesol,5,-8,135,74
verdesol,5,-6,214,79
verdesol,5,-2,78,102
verdesol,5,0,142,112
verdesol,5,0,100,116
verdesol,5,0,69,128
verdesol,5,0,183,139
verdesol,5,0,68,152
verdesol,5,0,115,157
verdesol,5,0,135,171
verdesol,5,0,140,185
verdesol,5,0,196,191
verdesol,5,0,229,203
verdesol,5,-1,163,209
verdesol,5,-3,225,211
verdesol,5,-4,109,208
verdesol,5,-5,220,339
verdesol,5,-6,236,345
verdesol,5,-7,174,348
verdesol,5,-8,276,350
verdesol,5,-9,250,348
verdesol,5,-10,304,343
verdesol,5,12,238,341
verdesol,5,11,371,335
verdesol,5,11,294,332
verdesol,5,10,303,328
verdesol,5,9,245,326
verdesol,5,9,319,321
verdesol,5,8,280,317
verdesol,5,8,388,315
verdesol,5,7,396,312
verdesol,5,7,439,311
verdesol,5,6,373,229
verdesol,5,6,440,229
verdesol,5,6,570,230
verdesol,5,5,556,232
verdesol,5,5,574,233
verdesol,5,4,465,233
verdesol,5,3,519,231
verdesol,5,3,478,228
verdesol,5,2,583,227
verdesol,5,2,432,222
verdesol,5,2,496,218
verdesol,5,2,289,212
verdesol,5,2,394,210
verdesol,5,2,363,204
verdesol,5,2,494,198
verdesol,5,2,360,196
verdesol,5,2,247,192
verdesol,5,2,161,189
verdesol,5,1,390,187
verdesol,5,1,393,187
verdesol,5,1,249,187
verdesol,5,1,167,188
verdesol,5,1,283,189
verdesol,5,2,293,191
verdesol,5,2,320,193
verdesol,5,2,221,193
verdesol,5,2,121,194
verdesol,5,3,203,193
verdesol,5,3,131,191
verdesol,5,4,113,189
verdesol,5,4,167,188
verdesol,5,4,120,185
verdesol,5,5,48,181
verdesol,5,5,43,180
verdesol,5,5,83,177
verdesol,5,6,109,176
verdesol,5,7,41,3
verdesol,5,7,23,3
verdesol,5,8,65,0
verdesol,5,9,46,357
verdesol,5,10,48,355
verdesol,5,10,41,354
verdesol,5,11,21,353
verdesol,5,12,66,352
verdesol,5,12,51,351
verdesol,5,-10,74,348
verdesol,5,-10,80,341
verdesol,5,-9,68,334
verdesol,5,-9,89,331
verdesol,5,-9,94,321
verdesol,5,-9,76,313
verdesol,5,-9,100,309
verdesol,5,-8,55,300
verdesol,5,-8,112,294
verdesol,5,-6,50,287
verdesol,5,-5,114,285
